record_id,redacted_data_json,is_pii
62,"{""passport"": ""[REDACTED_PII]"", ""nationality"": ""Indian""}",True
63,"{""first_name"": ""RXXXX"", ""wishlist_count"": 15}",True
64,"{""aadhar"": ""5678 XXXX XXXX 3456"", ""biometric_status"": ""matched""}",True
65,"{""payment_gateway"": ""Razorpay"", ""transaction_fee"": 25}",False
66,"{""name"": ""NXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
67,"{""inventory_id"": ""INV789"", ""stock_level"": 50}",False
68,"{""upi_id"": ""usXXX@axisbank"", ""merchant_category"": ""retail""}",True
69,"{""city"": ""Hyderabad"", ""weather"": ""partly_cloudy""}",False
70,"{""phone"": ""XXXXXXXX23"", ""call_preference"": ""evening""}",True
71,"{""coupon_code"": ""FIRST10"", ""usage_count"": 1}",False
72,"{""name"": ""KXXXXXXXXXXXXXXXXXX"", ""email"": ""kaXXX@work.com"", ""device_type"": ""iOS""}",True
73,"{""logistics_partner"": ""BlueDart"", ""tracking_id"": ""BD123456789""}",False
74,"{""passport"": ""[REDACTED_PII]"", ""expiry_date"": ""2030-12-15""}",True
75,"{""age"": 32, ""income_bracket"": ""middle_class""}",False
76,"{""aadhar"": ""6789 XXXX XXXX 4567"", ""mobile_linked"": ""True""}",True
77,"{""return_reason"": ""size_issue"", ""refund_amount"": 899}",False
78,"{""name"": ""DXXXXXXXXXXX"", ""phone"": ""XXXXXXXX90"", ""email"": ""diXXX@personal.com""}",True
79,"{""seller_id"": ""SELLER001"", ""rating"": 4.2}",False
80,"{""upi_id"": ""usXXX@hdfcbank"", ""settlement_cycle"": ""T+2""}",True
81,"{""recommendation_type"": ""collaborative"", ""confidence"": 0.85}",False
82,"{""name"": ""MXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""maXXX@email.com""}",True
83,"{""api_version"": ""v2.1"", ""response_time"": ""120ms""}",False
84,"{""phone"": ""XXXXXXXX23"", ""language_preference"": ""Hindi""}",True
85,"{""last_name"": ""RXXXX"", ""occupation"": ""Doctor""}",True
86,"{""passport"": ""[REDACTED_PII]"", ""visa_required"": false}",True
87,"{""affiliate_id"": ""AFF789"", ""commission_rate"": 5}",False
88,"{""aadhar"": ""7890 XXXX XXXX 5678"", ""ekyc_timestamp"": ""2024-01-15T10:30:00Z""}",True
89,"{""utm_source"": ""google"", ""campaign"": ""winter_sale""}",False
90,"{""name"": ""AXXXXXXXXX"", ""email"": ""anXXX@university.edu"", ""ip_address"": ""[REDACTED_PII]""}",True
91,"{""fraud_score"": 0.15, ""risk_level"": ""low""}",False
92,"{""upi_id"": ""usXXX@ybl"", ""bank_name"": ""SXXXXXXXXX""}",True
93,"{""search_filter"": ""electronics"", ""sort_by"": ""price_low_to_high""}",False
94,"{""phone"": ""XXXXXXXX90"", ""two_factor_auth"": true}",True
95,"{""first_name"": ""AXXX"", ""cart_value"": 2500}",True
96,"{""name"": ""PXXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""phone"": ""XXXXXXXX45""}",True
97,"{""machine_learning_model"": ""recommendation_v3"", ""accuracy"": 0.92}",False
98,"{""passport"": ""[REDACTED_PII]"", ""place_of_issue"": ""Mumbai""}",True
99,"{""city"": ""Bangalore"", ""traffic_condition"": ""moderate""}",False
100,"{""aadhar"": ""8901 XXXX XXXX 6789"", ""consent_given"": true}",True
101,"{""email"": ""neXXX@flipkart.com"", ""unsubscribe_rate"": 0.02}",True
102,"{""name"": ""SXXXXXXXXXXXX"", ""email"": ""suXXX@office.com"", ""device_id"": ""TAB456789""}",True
103,"{""performance_metric"": ""page_load_time"", ""value"": ""2.1s""}",False
104,"{""upi_id"": ""usXXX@kotak"", ""limit_daily"": 50000}",True
105,"{""last_name"": ""GXXXX"", ""education"": ""MBA""}",True
106,"{""phone"": ""XXXXXXXX67"", ""marketing_consent"": false}",True
107,"{""analytics_event"": ""product_view"", ""timestamp"": ""2024-01-20T14:22:33Z""}",False
108,"{""name"": ""RXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""raXXX@workplace.in""}",True
109,"{""cache_hit_ratio"": 0.78, ""response_cached"": true}",False
110,"{""passport"": ""[REDACTED_PII]"", ""passport_type"": ""[REDACTED_PII]""}",True
111,"{""first_name"": ""VXXXX"", ""subscription_status"": ""[REDACTED_PII]""}",True
112,"{""aadhar"": ""9012 XXXX XXXX 7890"", ""demographic_verified"": true}",True
113,"{""a_b_test"": ""checkout_flow_v2"", ""variant"": ""B""}",False
114,"{""name"": ""KXXXXXXXXXXX"", ""phone"": ""XXXXXXXX01"", ""email"": ""kaXXX@gmail.com""}",True
115,"{""geo_location"": ""lat:12.9716,lng:77.5946"", ""accuracy"": ""10m""}",False
116,"{""upi_id"": ""usXXX@paytm"", ""merchant_type"": ""individual""}",True
117,"{""database_query"": ""SELECT * FROM products"", ""execution_time"": ""45ms""}",False
118,"{""phone"": ""XXXXXXXX10"", ""device_brand"": ""Samsung""}",True
119,"{""last_name"": ""SXXXX"", ""marital_status"": ""married""}",True
120,"{""name"": ""AXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
121,"{""content_type"": ""application/json"", ""encoding"": ""utf-8""}",False
122,"{""passport"": ""[REDACTED_PII]"", ""biometric_enrolled"": true}",True
123,"{""city"": ""Coimbatore"", ""pincode"": ""641001""}",False
124,"{""aadhar"": ""0123 XXXX XXXX 8901"", ""otp_verified"": true}",True
125,"{""recommendation_engine"": ""neural_cf"", ""training_date"": ""2024-01-01""}",False
126,"{""name"": ""GXXXXXXXXXXX"", ""email"": ""geXXX@company.com"", ""device_type"": ""Desktop""}",True
127,"{""webhook_url"": ""https://api.example.com/webhook"", ""status"": ""active""}",False
128,"{""upi_id"": ""usXXX@icici"", ""autopay_enabled"": false}",True
129,"{""first_name"": ""MXXXX"", ""preferred_language"": ""English""}",True
130,"{""phone"": ""XXXXXXXX12"", ""carrier"": ""Airtel""}",True
131,"{""inventory_turnover"": 4.2, ""stock_out_rate"": 0.08}",False
132,"{""name"": ""SXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""phone"": ""XXXXXXXX79""}",True
133,"{""service_level"": ""premium"", ""response_time_sla"": ""< 1 hour""}",False
134,"{""passport"": ""[REDACTED_PII]"", ""emergency_contact"": ""+91-XXXXXXXX10""}",True
135,"{""last_name"": ""NXXX"", ""hobby"": ""photography""}",True
136,"{""aadhar"": ""1234 XXXX XXXX 7654"", ""photo_verification"": ""passed""}",True
137,"{""feature_toggle"": ""new_ui"", ""rollout_percentage"": 25}",False
138,"{""name"": ""HXXXXXXXXXXX"", ""email"": ""haXXX@tech.org"", ""ip_address"": ""[REDACTED_PII]""}",True
139,"{""data_pipeline"": ""[REDACTED_PII]"", ""processed_records"": 1000000}",True
140,"{""upi_id"": ""usXXX@ybl"", ""transaction_limit"": 100000}",True
141,"{""search_algorithm"": ""elasticsearch"", ""index_size"": ""2.5GB""}",False
142,"{""phone"": ""XXXXXXXX89"", ""roaming_status"": false}",True
143,"{""city"": ""Kochi"", ""state"": ""Kerala""}",False
144,"{""name"": ""RXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""riXXX@company.net""}",True
145,"{""microservice"": ""user_service"", ""health_status"": ""healthy""}",False
146,"{""passport"": ""[REDACTED_PII]"", ""pages_remaining"": 28}",True
147,"{""first_name"": ""DXXXXX"", ""loyalty_tier"": ""gold""}",True
148,"{""aadhar"": ""2345 XXXX XXXX 8765"", ""fingerprint_matched"": true}",True
149,"{""cdn_cache"": ""cloudflare"", ""hit_ratio"": 0.89}",False
150,"{""name"": ""PXXXXXXXXXXXXXXXXX"", ""phone"": ""XXXXXXXX56"", ""email"": ""prXXX@personal.in""}",True
151,"{""log_level"": ""INFO"", ""message"": ""Transaction completed successfully""}",False
152,"{""upi_id"": ""usXXX@sbi"", ""beneficiary_count"": 3}",True
153,"{""machine_id"": ""ML789"", ""cpu_utilization"": 65}",False
154,"{""phone"": ""XXXXXXXX23"", ""do_not_disturb"": true}",True
155,"{""last_name"": ""MXXXXX"", ""department"": ""Engineering""}",True
156,"{""name"": ""AXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
157,"{""kubernetes_pod"": ""api-server-v2"", ""replicas"": 3}",False
158,"{""passport"": ""[REDACTED_PII]"", ""sponsor_required"": false}",True
159,"{""city"": ""Indore"", ""region"": ""Central India""}",False
160,"{""aadhar"": ""3456 XXXX XXXX 9876"", ""iris_scan"": ""verified""}",True
161,"{""email"": ""adXXX@system.com"", ""role"": ""system_admin""}",True
162,"{""name"": ""SXXXXXXXXXXX"", ""email"": ""saXXX@workplace.com"", ""device_id"": ""LAPTOP123""}",True
163,"{""ssl_certificate"": ""valid"", ""expiry"": ""2024-12-31""}",False
164,"{""upi_id"": ""usXXX@okaxis"", ""insurance_linked"": true}",True
165,"{""first_name"": ""NXXX"", ""age_verification"": ""completed""}",True
166,"{""phone"": ""XXXXXXXX90"", ""backup_number"": ""+91-8765432109""}",True
167,"{""monitoring_alert"": ""high_memory_usage"", ""threshold_exceeded"": true}",False
168,"{""name"": ""VXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""phone"": ""XXXXXXXX01""}",True
169,"{""load_balancer"": ""nginx"", ""upstream_servers"": 4}",False
170,"{""passport"": ""[REDACTED_PII]"", ""travel_history"": ""USA,UAE,UK""}",True
171,"{""last_name"": ""PXXXX"", ""blood_group"": ""O+""}",True
173,"{""api_rate_limit"": 1000, ""current_usage"": 245}",False
174,"{""name"": ""AXXXXXXXXXXX"", ""email"": ""anXXX@office.in"", ""ip_address"": ""[REDACTED_PII]""}",True
175,"{""database_connection"": ""mysql"", ""pool_size"": 20}",False
176,"{""upi_id"": ""usXXX@phonepe"", ""balance_inquiry"": true}",True
177,"{""city"": ""Nagpur"", ""timezone"": ""Asia/Kolkata""}",False
178,"{""phone"": ""XXXXXXXX67"", ""international_roaming"": false}",True
179,"{""first_name"": ""RXXXXX"", ""credit_score"": 750}",True
180,"{""name"": ""SXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""suXXX@email.org""}",True
181,"{""message_queue"": ""rabbitmq"", ""queue_depth"": 150}",False
182,"{""passport"": ""[REDACTED_PII]"", ""diplomatic_status"": ""[REDACTED_PII]""}",True
183,"{""last_name"": ""YXXXX"", ""experience"": ""5 years""}",True
185,"{""security_scan"": ""passed"", ""vulnerabilities_found"": 0}",False
186,"{""name"": ""RXXXXXXXXX"", ""phone"": ""XXXXXXXX45"", ""email"": ""riXXX@company.com""}",True
187,"{""container_registry"": ""docker_hub"", ""image_version"": ""v1.2.3""}",False
188,"{""upi_id"": ""usXXX@paytm"", ""pin_change_required"": false}",True
189,"{""city"": ""Chandigarh"", ""weather_forecast"": ""sunny""}",False
190,"{""phone"": ""XXXXXXXX34"", ""fiber_connection"": true}",True
191,"{""first_name"": ""MXXXX"", ""vehicle_type"": ""sedan""}",True
192,"{""name"": ""KXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
193,"{""elastic_search"": ""cluster_healthy"", ""nodes"": 5}",False
194,"{""passport"": ""[REDACTED_PII]"", ""minor_dependent"": false}",True
195,"{""last_name"": ""JXXX"", ""dietary_preference"": ""vegetarian""}",True
196,"{""aadhar"": ""6789 XXXX XXXX 2109"", ""family_head"": true}",True
197,"{""prometheus_metric"": ""http_requests_total"", ""value"": 50000}",False
198,"{""name"": ""AXXXXXXXXXXXXXX"", ""email"": ""abXXX@work.com"", ""device_type"": ""Mobile""}",True
199,"{""grafana_dashboard"": ""system_overview"", ""panels"": 12}",False
200,"{""upi_id"": ""usXXX@unionbank"", ""interest_rate"": 3.5}",True
201,"{""city"": ""Bhopal"", ""air_quality"": ""moderate""}",False
202,"{""phone"": ""XXXXXXXX78"", ""plan_type"": ""postpaid""}",True
203,"{""first_name"": ""SXXXXXX"", ""favorite_color"": ""blue""}",True
204,"{""name"": ""RXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""phone"": ""XXXXXXXX90""}",True
205,"{""jenkins_build"": ""successful"", ""build_number"": 156}",False
207,"{""last_name"": ""CXXXXX"", ""shoe_size"": 9}",True
208,"{""aadhar"": ""7890 XXXX XXXX 3210"", ""nomination_updated"": true}",True
209,"{""terraform_state"": ""applied"", ""resources"": 23}",False
210,"{""name"": ""SXXXXXXXXXXXX"", ""email"": ""shXXX@personal.com"", ""ip_address"": ""[REDACTED_PII]""}",True
211,"{""ansible_playbook"": ""deploy_app"", ""tasks"": 15}",False
212,"{""upi_id"": ""usXXX@ybl"", ""kyc_level"": ""full""}",True
213,"{""city"": ""Vadodara"", ""population"": 1670000}",False
214,"{""phone"": ""XXXXXXXX12"", ""signal_strength"": ""-65dBm""}",True
215,"{""first_name"": ""GXXXXX"", ""t_shirt_size"": ""L""}",True
216,"{""name"": ""MXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""maXXX@bollywood.com""}",True
217,"{""docker_compose"": ""version_3"", ""services"": 8}",False
218,"{""passport"": ""[REDACTED_PII]"", ""blood_type"": ""A+""}",True
219,"{""last_name"": ""BXXXXX"", ""coffee_preference"": ""cappuccino""}",True
220,"{""aadhar"": ""8901 XXXX XXXX 4321"", ""senior_citizen"": false}",True
221,"{""nagios_check"": ""ok"", ""last_check"": ""2024-01-20T15:30:00Z""}",False
222,"{""name"": ""NXXXXXXXXXXXX"", ""phone"": ""XXXXXXXX90"", ""email"": ""niXXX@tech.in""}",True
223,"{""zabbix_host"": ""web_server_01"", ""status"": ""monitored""}",False
224,"{""upi_id"": ""usXXX@yesbank"", ""gst_registered"": true}",True
225,"{""city"": ""Surat"", ""textile_hub"": true}",False
226,"{""phone"": ""XXXXXXXX12"", ""voicemail_enabled"": ""XXX@unknown.com""}",True
227,"{""first_name"": ""PXXXX"", ""pet_name"": ""BXXXX""}",True
228,"{""name"": ""KXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
229,"{""splunk_index"": ""main"", ""events_per_day"": 1000000}",False
230,"{""passport"": ""[REDACTED_PII]"", ""dual_citizenship"": ""[REDACTED_PII]""}",True
231,"{""last_name"": ""AXXXXXX"", ""music_preference"": ""classical""}",True
232,"{""aadhar"": ""9012 XXXX XXXX 5432"", ""disability_certificate"": false}",True
233,"{""elk_stack"": ""7.10.2"", ""log_retention"": ""30_days""}",False
234,"{""name"": ""SXXXXXXXXXX"", ""email"": ""swXXX@university.ac.in"", ""device_id"": ""STU789123""}",True
235,"{""redis_cache"": ""cluster_mode"", ""memory_usage"": ""2.1GB""}",False
236,"{""upi_id"": ""usXXX@paytm"", ""fraud_alert"": false}",True
237,"{""city"": ""Jodhpur"", ""heritage_site"": true}",False
238,"{""phone"": ""XXXXXXXX34"", ""emergency_contact"": ""True""}",True
239,"{""first_name"": ""AXXXX"", ""gaming_preference"": ""FPS""}",True
240,"{""name"": ""GXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""phone"": ""XXXXXXXX57""}",True
241,"{""memcached"": ""1.6.9"", ""hit_ratio"": 0.84}",False
242,"{""passport"": ""[REDACTED_PII]"", ""organ_donor"": true}",True
243,"{""last_name"": ""KXXXXXXX"", ""sports_preference"": ""cricket""}",True
244,"{""aadhar"": ""0123 XXXX XXXX 6543"", ""pan_linked"": true}",True
245,"{""fluentd_buffer"": ""file"", ""buffer_size"": ""256MB""}",False
246,"{""name"": ""TXXXXXXXXX"", ""email"": ""taXXX@startup.io"", ""ip_address"": ""[REDACTED_PII]""}",True
247,"{""haproxy_backend"": ""app_servers"", ""active_servers"": 6}",False
248,"{""upi_id"": ""usXXX@okaxis"", ""reward_points"": 2500}",True
249,"{""city"": ""Agra"", ""monument"": ""Taj Mahal""}",False
250,"{""phone"": ""XXXXXXXX45"", ""data_plan"": ""unlimited""}",True
251,"{""first_name"": ""SXXXXX"", ""zodiac_sign"": ""Leo""}",True
252,"{""name"": ""VXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""vaXXX@actor.com""}",True
253,"{""cassandra_cluster"": ""3_nodes"", ""replication_factor"": 3}",False
254,"{""passport"": ""[REDACTED_PII]"", ""machine_readable"": true}",True
255,"{""last_name"": ""SXXXX"", ""reading_habit"": ""fiction""}",True
256,"{""aadhar"": ""1234 XXXX XXXX 5432"", ""uan_linked"": true}",True
257,"{""neo4j_database"": ""graph_analytics"", ""node_count"": 50000}",False
258,"{""name"": ""RXXXXXXXXXXXXXX"", ""phone"": ""XXXXXXXX10"", ""email"": ""riXXX@film.in""}",True
259,"{""apache_kafka"": ""2.8.0"", ""topics"": 25}",False
260,"{""upi_id"": ""usXXX@ibl"", ""standing_instruction"": true}",True
261,"{""city"": ""Guwahati"", ""tea_capital"": true}",False
262,"{""phone"": ""XXXXXXXX89"", ""hotspot_enabled"": true}",True
263,"{""first_name"": ""TXXXX"", ""dance_form"": ""bharatanatyam""}",True
264,"{""name"": ""SXXXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
265,"{""airflow_dag"": ""data_pipeline"", ""schedule_interval"": ""@daily""}",False
266,"{""passport"": ""[REDACTED_PII]"", ""special_endorsement"": false}",True
267,"{""last_name"": ""PXXXXX"", ""cooking_skill"": ""intermediate""}",True
268,"{""aadhar"": ""2345 XXXX XXXX 6543"", ""ration_card_linked"": true}",True
269,"{""spark_cluster"": ""4_workers"", ""memory"": ""16GB""}",False
270,"{""name"": ""AXXXXXXXXX"", ""email"": ""alXXX@bollywood.in"", ""device_type"": ""iPhone""}",True
271,"{""hdfs_replication"": 3, ""block_size"": ""128MB""}",False
272,"{""upi_id"": ""usXXX@ybl"", ""max_transaction_limit"": 200000}",True
273,"{""city"": ""Dehradun"", ""hill_station"": true}",False
274,"{""phone"": ""XXXXXXXX23"", ""call_forwarding"": false}",True
275,"{""first_name"": ""YXXX"", ""favorite_cuisine"": ""Italian""}",True
276,"{""name"": ""DXXXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""phone"": ""XXXXXXXX67""}",True
277,"{""mongodb_replica"": ""primary"", ""oplog_size"": ""2GB""}",False
278,"{""passport"": ""[REDACTED_PII]"", ""chip_enabled"": ""[REDACTED_PII]""}",True
279,"{""last_name"": ""GXXXX"", ""travel_frequency"": ""frequent""}",True
280,"{""aadhar"": ""3456 XXXX XXXX 6543"", ""voter_id_linked"": true}",True
281,"{""postgresql_version"": ""13.4"", ""extensions"": ""postgis,pg_stat_statements""}",False
282,"{""name"": ""RXXXXXXXXXXXX"", ""email"": ""raXXX@movies.com"", ""ip_address"": ""[REDACTED_PII]""}",True
283,"{""consul_cluster"": ""3_agents"", ""leader_election"": true}",False
284,"{""upi_id"": ""usXXX@paytm"", ""mobile_banking"": ""True""}",True
285,"{""city"": ""Shimla"", ""altitude"": ""2205m""}",False
286,"{""phone"": ""XXXXXXXX90"", ""wifi_calling"": true}",True
287,"{""first_name"": ""IXXXXX"", ""language_skills"": ""Hindi,English,French""}",True
288,"{""name"": ""HXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""email"": ""hrXXX@superstar.in""}",True
289,"{""vault_secrets"": ""encrypted"", ""policies"": 8}",False
290,"{""passport"": ""[REDACTED_PII]"", ""photo_biometric"": true}",True
291,"{""last_name"": ""SXXXXX"", ""workout_routine"": ""yoga""}",True
292,"{""aadhar"": ""4567 XXXX XXXX 6543"", ""driving_license_linked"": true}",True
293,"{""kubernetes_ingress"": ""nginx"", ""ssl_termination"": true}",False
294,"{""name"": ""KXXXXXXXXXXX"", ""phone"": ""XXXXXXXX90"", ""email"": ""kaXXX@actress.com""}",True
295,"{""etcd_cluster"": ""healthy"", ""raft_applied_index"": 1000000}",False
296,"{""upi_id"": ""usXXX@okaxis"", ""joint_account"": false}",True
297,"{""city"": ""Manali"", ""skiing_season"": ""winter""}",False
298,"{""phone"": ""XXXXXXXX45"", ""conference_calling"": true}",True
299,"{""first_name"": ""NXXXX"", ""programming_language"": ""Python""}",True
300,"{""name"": ""PXXXXXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""ip_address"": ""[REDACTED_PII]""}",True
301,"{""istio_mesh"": ""enabled"", ""sidecar_injection"": true}",False
302,"{""passport"": ""[REDACTED_PII]"", ""rfid_enabled"": true}",True
303,"{""last_name"": ""TXXXXX"", ""meditation_practice"": ""mindfulness""}",True
304,"{""aadhar"": ""5678 XXXX XXXX 2109"", ""health_insurance_linked"": true}",True
305,"{""linkerd_proxy"": ""stable-2.11.1"", ""success_rate"": 99.9}",False
306,"{""name"": ""AXXXXXXXXXXX"", ""email"": ""akXXX@actionhero.in"", ""device_id"": ""ACTOR123""}",True
307,"{""opentelemetry"": ""enabled"", ""traces_per_second"": 1000}",False
308,"{""upi_id"": ""usXXX@ybl"", ""credit_card_linked"": true}",True
309,"{""city"": ""Ooty"", ""tea_gardens"": true}",False
310,"{""phone"": ""XXXXXXXX78"", ""5g_enabled"": true}",True
311,"{""first_name"": ""SXXXX"", ""fitness_goal"": ""weight_loss""}",True
312,"{""name"": ""SXXXXXXXXXX"", ""address"": ""[REDACTED_PII]"", ""phone"": ""XXXXXXXX80""}",True
313,"{""jaeger_tracing"": ""distributed"", ""spans_collected"": 50000}",False
314,"{""passport"": ""[REDACTED_PII]"", ""biometric_exit"": true}",True
315,"{""last_name"": ""MXXXXXX"", ""hobby"": ""painting""}",True
316,"{""aadhar"": ""6789 XXXX XXXX 3210"", ""life_insurance_linked"": true}",True
317,"{""zipkin_spans"": ""[REDACTED_PII]"", ""sampling_rate"": 0.1}",True
318,"{""name"": ""AXXXXXXXXX"", ""email"": ""aaXXX@perfectionist.com"", ""ip_address"": ""[REDACTED_PII]""}",True
319,"{""flagger_canary"": ""progressive"", ""success_threshold"": 99}",False
320,"{""upi_id"": ""usXXX@paytm"", ""fixed_deposit_linked"": true}",True
321,"{""city"": ""Nainital"", ""lake_city"": true}",False
